attribute,visa_type,eoi_status,value,eois
English Test Score,190SAS Skilled Australian Sponsored,CLOSED,10,223030
English Test Score,190SAS Skilled Australian Sponsored,CLOSED,20,127167
English Test Score,190SAS Skilled Australian Sponsored,CLOSED,0,66771
English Test Score,190SAS Skilled Australian Sponsored,CLOSED,-,6701
English Test Score,190SAS Skilled Australian Sponsored,SUBMITTED,10,226865
English Test Score,190SAS Skilled Australian Sponsored,SUBMITTED,20,117334
English Test Score,190SAS Skilled Australian Sponsored,SUBMITTED,0,82724
English Test Score,190SAS Skilled Australian Sponsored,LODGED,10,7140
English Test Score,190SAS Skilled Australian Sponsored,LODGED,20,7451
English Test Score,190SAS Skilled Australian Sponsored,LODGED,0,2908
English Test Score,190SAS Skilled Australian Sponsored,INVITED,10,989
English Test Score,190SAS Skilled Australian Sponsored,INVITED,20,1125
English Test Score,190SAS Skilled Australian Sponsored,INVITED,0,292
English Test Score,190SAS Skilled Australian Sponsored,HOLD,10,2239
English Test Score,190SAS Skilled Australian Sponsored,HOLD,20,2416
English Test Score,190SAS Skilled Australian Sponsored,HOLD,0,766
English Test Score,491SNR State or Territory Nominated - Regional,CLOSED,10,196359
English Test Score,491SNR State or Territory Nominated - Regional,CLOSED,20,74117
English Test Score,491SNR State or Territory Nominated - Regional,CLOSED,0,104815
English Test Score,491SNR State or Territory Nominated - Regional,CLOSED,-,5359
English Test Score,491SNR State or Territory Nominated - Regional,SUBMITTED,10,237290
English Test Score,491SNR State or Territory Nominated - Regional,SUBMITTED,20,92894
English Test Score,491SNR State or Territory Nominated - Regional,SUBMITTED,0,141975
English Test Score,491SNR State or Territory Nominated - Regional,LODGED,10,5359
English Test Score,491SNR State or Territory Nominated - Regional,LODGED,20,3218
English Test Score,491SNR State or Territory Nominated - Regional,LODGED,0,3554
English Test Score,491SNR State or Territory Nominated - Regional,INVITED,10,422
English Test Score,491SNR State or Territory Nominated - Regional,INVITED,20,423
English Test Score,491SNR State or Territory Nominated - Regional,INVITED,0,179
English Test Score,491SNR State or Territory Nominated - Regional,HOLD,10,2319
English Test Score,491SNR State or Territory Nominated - Regional,HOLD,20,1894
English Test Score,491SNR State or Territory Nominated - Regional,HOLD,0,1166
English Test Score,189PTS Points-Tested Stream,CLOSED,10,103294
English Test Score,189PTS Points-Tested Stream,CLOSED,20,69539
English Test Score,189PTS Points-Tested Stream,CLOSED,0,27462
English Test Score,189PTS Points-Tested Stream,CLOSED,-,4855
English Test Score,189PTS Points-Tested Stream,SUBMITTED,10,92010
English Test Score,189PTS Points-Tested Stream,SUBMITTED,20,55167
English Test Score,189PTS Points-Tested Stream,SUBMITTED,0,31494
English Test Score,189PTS Points-Tested Stream,LODGED,10,3887
English Test Score,189PTS Points-Tested Stream,LODGED,20,6124
English Test Score,189PTS Points-Tested Stream,LODGED,0,1047
English Test Score,189PTS Points-Tested Stream,INVITED,10,1761
English Test Score,189PTS Points-Tested Stream,INVITED,20,2552
English Test Score,189PTS Points-Tested Stream,INVITED,0,300
English Test Score,189PTS Points-Tested Stream,HOLD,10,1754
English Test Score,189PTS Points-Tested Stream,HOLD,20,3394
English Test Score,189PTS Points-Tested Stream,HOLD,0,319
English Test Score,491FSR Family Sponsored - Regional,CLOSED,10,3780
English Test Score,491FSR Family Sponsored - Regional,CLOSED,20,1425
English Test Score,491FSR Family Sponsored - Regional,CLOSED,0,2064
English Test Score,491FSR Family Sponsored - Regional,CLOSED,-,194
English Test Score,491FSR Family Sponsored - Regional,SUBMITTED,10,4391
English Test Score,491FSR Family Sponsored - Regional,SUBMITTED,20,2011
English Test Score,491FSR Family Sponsored - Regional,SUBMITTED,0,2602
English Test Score,491FSR Family Sponsored - Regional,LODGED,10,94
English Test Score,491FSR Family Sponsored - Regional,LODGED,20,85
English Test Score,491FSR Family Sponsored - Regional,LODGED,0,51
English Test Score,491FSR Family Sponsored - Regional,INVITED,10,4
English Test Score,491FSR Family Sponsored - Regional,INVITED,20,22
English Test Score,491FSR Family Sponsored - Regional,HOLD,10,21
English Test Score,491FSR Family Sponsored - Regional,HOLD,20,10
English Test Score,491FSR Family Sponsored - Regional,HOLD,0,18
English Test Score,188BI Business Innovation,CLOSED,10,11
English Test Score,188BI Business Innovation,CLOSED,0,60
English Test Score,188BI Business Innovation,CLOSED,5,14
English Test Score,188BI Business Innovation,CLOSED,-,116
English Test Score,188BI Business Innovation,LODGED,0,6
English Test Score,188BI Business Innovation,LODGED,5,1
English Test Score,188INV Investor,CLOSED,10,6
English Test Score,188INV Investor,CLOSED,0,3
English Test Score,188INV Investor,CLOSED,5,3
English Test Score,188INV Investor,CLOSED,-,259
English Test Score,188EV Entrepreneur,CLOSED,N/A,109
English Test Score,188SIG Significant Investor,CLOSED,N/A,23
English Test Score,132SBH Significant Business History,CLOSED,N/A,1
Australian Study Flag,190SAS Skilled Australian Sponsored,CLOSED,N,228375
Australian Study Flag,190SAS Skilled Australian Sponsored,CLOSED,Y,188593
Australian Study Flag,190SAS Skilled Australian Sponsored,CLOSED,-,6701
Australian Study Flag,190SAS Skilled Australian Sponsored,SUBMITTED,N,259739
Australian Study Flag,190SAS Skilled Australian Sponsored,SUBMITTED,Y,167198
Australian Study Flag,190SAS Skilled Australian Sponsored,LODGED,N,5745
Australian Study Flag,190SAS Skilled Australian Sponsored,LODGED,Y,11762
Australian Study Flag,190SAS Skilled Australian Sponsored,INVITED,N,730
Australian Study Flag,190SAS Skilled Australian Sponsored,INVITED,Y,1675
Australian Study Flag,190SAS Skilled Australian Sponsored,HOLD,N,2825
Australian Study Flag,190SAS Skilled Australian Sponsored,HOLD,Y,2596
Australian Study Flag,491SNR State or Territory Nominated - Regional,CLOSED,N,251922
Australian Study Flag,491SNR State or Territory Nominated - Regional,CLOSED,Y,123392
Australian Study Flag,491SNR State or Territory Nominated - Regional,CLOSED,-,5359
Australian Study Flag,491SNR State or Territory Nominated - Regional,SUBMITTED,N,326916
Australian Study Flag,491SNR State or Territory Nominated - Regional,SUBMITTED,Y,145223
Australian Study Flag,491SNR State or Territory Nominated - Regional,LODGED,N,4205
Australian Study Flag,491SNR State or Territory Nominated - Regional,LODGED,Y,7938
Australian Study Flag,491SNR State or Territory Nominated - Regional,INVITED,N,372
Australian Study Flag,491SNR State or Territory Nominated - Regional,INVITED,Y,651
Australian Study Flag,491SNR State or Territory Nominated - Regional,HOLD,N,3129
Australian Study Flag,491SNR State or Territory Nominated - Regional,HOLD,Y,2250
Australian Study Flag,189PTS Points-Tested Stream,CLOSED,N,63942
Australian Study Flag,189PTS Points-Tested Stream,CLOSED,Y,136282
Australian Study Flag,189PTS Points-Tested Stream,CLOSED,-,4855
Australian Study Flag,189PTS Points-Tested Stream,SUBMITTED,N,62145
Australian Study Flag,189PTS Points-Tested Stream,SUBMITTED,Y,116440
Australian Study Flag,189PTS Points-Tested Stream,LODGED,N,3266
Australian Study Flag,189PTS Points-Tested Stream,LODGED,Y,7785
Australian Study Flag,189PTS Points-Tested Stream,INVITED,N,1415
