ak,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
202408,0,0,0,8,285,28706,28756,101286,0,0
202409,0,1,1,24,565,47673,46539,174354,0,0
202410,0,1,1,30,700,60600,57767,228743,0,0
202411,0,1,1,32,794,72959,70665,280260,0,0
202412,0,1,2,32,861,95208,77558,322042,0,0
202501,0,2,2,32,924,95913,98273,328135,34627,0
202502,0,2,2,32,971,96342,120892,333426,70929,0
202503,0,2,3,32,1016,96853,146072,337891,110429,0
202504,0,2,3,33,1039,97143,169214,341821,148715,0
202505,0,2,4,33,1051,97313,192237,345116,186790,0
202506,0,2,4,34,1055,97331,208348,347741,218074,0
202507,1,2,4,34,1078,97478,227062,350314,254495,0
202508,1,2,5,36,1093,97668,251992,352728,298364,0
202509,1,2,6,36,1110,97816,285414,354477,340813,0
202510,1,2,6,36,1129,98077,309988,356575,391419,0
202511,1,2,6,36,1139,98280,331253,359367,436039,0
202512,1,2,6,36,1150,98417,349781,360796,467506,0
202601,1,2,7,36,1161,98481,350414,380335,467274,33411
202602,1,2,7,36,1165,98524,350785,397273,466883,68642
202603,1,2,7,36,1169,98562,351171,414459,466467,103666
202604,1,2,7,36,1172,98579,351348,429038,466027,139330
202605,1,2,7,36,1174,98606,351503,442222,465460,170108
202606,1,2,8,36,1174,98616,351516,454250,464837,199571
202607,1,2,8,36,1176,98628,351592,475646,464435,229567
