occupation,visa_type,分数线,该线获邀率%,该线样本n,EOI总数,曾获邀
121111 Aquaculture Farmer,491SNR State or Territory Nominated - Regional,,,,64.0,1.0
121211 Cotton Grower,491SNR State or Territory Nominated - Regional,,,,3.0,0.0
121212 Flower Grower,190SAS Skilled Australian Sponsored,,,,48.0,2.0
121212 Flower Grower,491SNR State or Territory Nominated - Regional,,,,86.0,4.0
121213 Fruit or Nut Grower,491SNR State or Territory Nominated - Regional,,,,93.0,3.0
"121214 Grain, Oilseed or Pasture Grower",491SNR State or Territory Nominated - Regional,,,,75.0,1.0
121215 Grape Grower,190SAS Skilled Australian Sponsored,,,,19.0,3.0
121215 Grape Grower,491SNR State or Territory Nominated - Regional,,,,23.0,3.0
121216 Mixed Crop Farmer,491SNR State or Territory Nominated - Regional,,,,1348.0,21.0
121217 Sugar Cane Grower,491SNR State or Territory Nominated - Regional,,,,16.0,0.0
121221 Vegetable Grower,190SAS Skilled Australian Sponsored,,,,201.0,15.0
121221 Vegetable Grower,491SNR State or Territory Nominated - Regional,,,,227.0,21.0
121299 Crop Farmers nec,491SNR State or Territory Nominated - Regional,,,,11.0,1.0
121311 Apiarist,190SAS Skilled Australian Sponsored,,,,13.0,0.0
121311 Apiarist,491SNR State or Territory Nominated - Regional,,,,35.0,0.0
121312 Beef Cattle Farmer,491SNR State or Territory Nominated - Regional,,,,37.0,0.0
121313 Dairy Cattle Farmer,491SNR State or Territory Nominated - Regional,,,,248.0,0.0
121316 Horse Breeder,491SNR State or Territory Nominated - Regional,,,,4.0,0.0
121317 Mixed Livestock Farmer,491SNR State or Territory Nominated - Regional,,,,45.0,0.0
121318 Pig Farmer,491SNR State or Territory Nominated - Regional,,,,2.0,0.0
121321 Poultry Farmer,190SAS Skilled Australian Sponsored,,,,180.0,5.0
121321 Poultry Farmer,491SNR State or Territory Nominated - Regional,,,,331.0,13.0
121322 Sheep Farmer,491SNR State or Territory Nominated - Regional,,,,6.0,0.0
121399 Livestock Farmers nec,491SNR State or Territory Nominated - Regional,,,,3.0,0.0
121411 Mixed Crop and Livestock Farmer,491SNR State or Territory Nominated - Regional,,,,73.0,6.0
131112 Sales and Marketing Manager,190SAS Skilled Australian Sponsored,,,,3948.0,86.0
131112 Sales and Marketing Manager,491SNR State or Territory Nominated - Regional,,,,5197.0,62.0
131113 Advertising Manager,190SAS Skilled Australian Sponsored,,,,212.0,1.0
131113 Advertising Manager,491SNR State or Territory Nominated - Regional,,,,226.0,0.0
131114 Public Relations Manager,491SNR State or Territory Nominated - Regional,,,,90.0,0.0
132111 Corporate Services Manager,190SAS Skilled Australian Sponsored,,,,637.0,19.0
132111 Corporate Services Manager,491SNR State or Territory Nominated - Regional,,,,732.0,3.0
132211 Finance Manager,189PTS Points-Tested Stream,,,,12.0,0.0
132211 Finance Manager,190SAS Skilled Australian Sponsored,,,,7330.0,82.0
132211 Finance Manager,491SNR State or Territory Nominated - Regional,,,,7073.0,65.0
132311 Human Resource Manager,189PTS Points-Tested Stream,,,,1.0,0.0
132311 Human Resource Manager,190SAS Skilled Australian Sponsored,,,,2355.0,29.0
132311 Human Resource Manager,491SNR State or Territory Nominated - Regional,,,,2942.0,21.0
