as_at_month,visa_type,eoi_status,eois
07/2026,190SAS Skilled Australian Sponsored,CLOSED,423530
07/2026,190SAS Skilled Australian Sponsored,SUBMITTED,426822
07/2026,190SAS Skilled Australian Sponsored,LODGED,17487
07/2026,190SAS Skilled Australian Sponsored,INVITED,2404
07/2026,190SAS Skilled Australian Sponsored,HOLD,5421
07/2026,491SNR State or Territory Nominated - Regional,CLOSED,380523
07/2026,491SNR State or Territory Nominated - Regional,SUBMITTED,472034
07/2026,491SNR State or Territory Nominated - Regional,LODGED,12124
07/2026,491SNR State or Territory Nominated - Regional,INVITED,1023
07/2026,491SNR State or Territory Nominated - Regional,HOLD,5379
07/2026,189PTS Points-Tested Stream,CLOSED,205012
07/2026,189PTS Points-Tested Stream,SUBMITTED,178506
07/2026,189PTS Points-Tested Stream,LODGED,11048
07/2026,189PTS Points-Tested Stream,INVITED,4600
07/2026,189PTS Points-Tested Stream,HOLD,5457
07/2026,491FSR Family Sponsored - Regional,CLOSED,7460
07/2026,491FSR Family Sponsored - Regional,SUBMITTED,9001
07/2026,491FSR Family Sponsored - Regional,LODGED,230
07/2026,491FSR Family Sponsored - Regional,INVITED,26
07/2026,491FSR Family Sponsored - Regional,HOLD,49
07/2026,188BI Business Innovation,CLOSED,201
07/2026,188BI Business Innovation,LODGED,7
07/2026,188INV Investor,CLOSED,271
07/2026,188EV Entrepreneur,CLOSED,109
07/2026,188SIG Significant Investor,CLOSED,23
07/2026,132SBH Significant Business History,CLOSED,1
06/2026,190SAS Skilled Australian Sponsored,CLOSED,397158
06/2026,190SAS Skilled Australian Sponsored,SUBMITTED,423074
06/2026,190SAS Skilled Australian Sponsored,LODGED,19280
06/2026,190SAS Skilled Australian Sponsored,INVITED,3823
06/2026,190SAS Skilled Australian Sponsored,HOLD,5532
06/2026,491SNR State or Territory Nominated - Regional,CLOSED,350349
06/2026,491SNR State or Territory Nominated - Regional,SUBMITTED,469589
06/2026,491SNR State or Territory Nominated - Regional,LODGED,12395
06/2026,491SNR State or Territory Nominated - Regional,INVITED,1869
06/2026,491SNR State or Territory Nominated - Regional,HOLD,5608
06/2026,189PTS Points-Tested Stream,CLOSED,194743
06/2026,189PTS Points-Tested Stream,SUBMITTED,175866
06/2026,189PTS Points-Tested Stream,LODGED,11919
06/2026,189PTS Points-Tested Stream,INVITED,6393
06/2026,189PTS Points-Tested Stream,HOLD,5372
06/2026,491FSR Family Sponsored - Regional,CLOSED,7028
06/2026,491FSR Family Sponsored - Regional,SUBMITTED,8878
06/2026,491FSR Family Sponsored - Regional,LODGED,229
06/2026,491FSR Family Sponsored - Regional,INVITED,40
06/2026,491FSR Family Sponsored - Regional,HOLD,55
06/2026,188BI Business Innovation,CLOSED,197
06/2026,188BI Business Innovation,LODGED,5
06/2026,188INV Investor,CLOSED,256
06/2026,188EV Entrepreneur,CLOSED,107
06/2026,188SIG Significant Investor,CLOSED,23
06/2026,132SBH Significant Business History,CLOSED,1
05/2026,190SAS Skilled Australian Sponsored,CLOSED,382299
05/2026,190SAS Skilled Australian Sponsored,SUBMITTED,420955
05/2026,190SAS Skilled Australian Sponsored,LODGED,16395
05/2026,190SAS Skilled Australian Sponsored,INVITED,1902
05/2026,190SAS Skilled Australian Sponsored,HOLD,5470
05/2026,491SNR State or Territory Nominated - Regional,CLOSED,335147
05/2026,491SNR State or Territory Nominated - Regional,SUBMITTED,463736
05/2026,491SNR State or Territory Nominated - Regional,LODGED,10972
05/2026,491SNR State or Territory Nominated - Regional,INVITED,1415
05/2026,491SNR State or Territory Nominated - Regional,HOLD,5591
05/2026,189PTS Points-Tested Stream,CLOSED,188913
05/2026,189PTS Points-Tested Stream,SUBMITTED,180442
05/2026,189PTS Points-Tested Stream,LODGED,7710
05/2026,189PTS Points-Tested Stream,INVITED,737
05/2026,189PTS Points-Tested Stream,HOLD,5262
05/2026,491FSR Family Sponsored - Regional,CLOSED,6729
05/2026,491FSR Family Sponsored - Regional,SUBMITTED,8574
05/2026,491FSR Family Sponsored - Regional,LODGED,210
05/2026,491FSR Family Sponsored - Regional,INVITED,13
05/2026,491FSR Family Sponsored - Regional,HOLD,62
05/2026,188BI Business Innovation,CLOSED,198
05/2026,188BI Business Innovation,LODGED,4
05/2026,188INV Investor,CLOSED,255
05/2026,188EV Entrepreneur,CLOSED,102
05/2026,188SIG Significant Investor,CLOSED,22
05/2026,188SIG Significant Investor,LODGED,1
05/2026,132SBH Significant Business History,CLOSED,1
